"","V1","V2"
"1",1.4,0.2
"2",1.4,0.2
"3",1.3,0.2
"4",1.5,0.2
"5",1.4,0.2
"6",1.7,0.4
"7",1.4,0.3
"8",1.5,0.2
"9",1.4,0.2
"10",1.5,0.1
"11",1.5,0.2
"12",1.6,0.2
"13",1.4,0.1
"14",1.1,0.1
"15",1.2,0.2
"16",1.5,0.4
"17",1.3,0.4
"18",1.4,0.3
"19",1.7,0.3
"20",1.5,0.3
"21",1.7,0.2
"22",1.5,0.4
"23",1,0.2
"24",1.7,0.5
"25",1.9,0.2
"26",1.6,0.2
"27",1.6,0.4
"28",1.5,0.2
"29",1.4,0.2
"30",1.6,0.2
"31",1.6,0.2
"32",1.5,0.4
"33",1.5,0.1
"34",1.4,0.2
"35",1.5,0.2
"36",1.2,0.2
"37",1.3,0.2
"38",1.4,0.1
"39",1.3,0.2
"40",1.5,0.2
"41",1.3,0.3
"42",1.3,0.3
"43",1.3,0.2
"44",1.6,0.6
"45",1.9,0.4
"46",1.4,0.3
"47",1.6,0.2
"48",1.4,0.2
"49",1.5,0.2
"50",1.4,0.2
